fattura_id,riga_fattura,data_fattura,fornitore,codice_fornitore,codice_prodotto,descrizione_prodotto,categoria,quantita,unita_misura,prezzo_unitario,importo_totale,iva_pct,pagato,data_scadenza
50004,4,12/01/2023,Ortofrutta Rossi e Figli,FORN-003,SKU-1465,Riso Carnaroli,Secchi,17.543,kilo,3.4211,60.02,4,NO,11/02/2023
50005,1,14/01/2023,Distribuzione Generale,FORN-008,SKU-2508,Vino Tignanello,Vini,26.0,BT,74.1196,1927.11,10,SI,14/04/2023
50005,2,14/01/2023,Distribuzione Generale,FORN-008,SKU-8715,Insalata mista,Verdure,23.56,g,2.5,58.9,22,NO,15/03/2023
50005,3,14/01/2023,Distribuzione Generale,FORN-008,SKU-2353,Farina 00,Secchi,4.26,Kg,0.7512,3.2,22,NO,
50005,4,14/01/2023,Distribuzione Generale,FORN-008,SKU-3857,Panna fresca,Latticini,5.66,1000ml,2.6925,15.24,10,SI,13/02/2023
50005,5,14/01/2023,Distribuzione Generale,FORN-008,SKU-8046,LATTE 1L,Latticini,18.04,1000ml,1.3148,23.72,10,NO,13/02/2023
50005,6,14/01/2023,Distribuzione Generale,FORN-008,SKU-4318,Costata di manzo,Carni,28.994,1000g,26.6364,772.3,10,NO,13/02/2023
50005,7,14/01/2023,Distribuzione Generale,FORN-008,SKU-2027,Sale fino,Condimenti,21.078,1000g,0.354,7.46,10,SI,14/04/2023
50006,1,16/01/2023,Cantina Vinicola Toscana,FORN-004,SKU-9617,Acqua minerale 1L,,131.0,pz,,,22,0,16/04/2023
50006,2,16/01/2023,Cantina Vinicola Toscana,FORN-004,SKU-1646,Porcini freschi kg,Funghi,24.426,g,45.0,1099.17,22,SI,16/04/2023
50006,3,2023/01/16,Cantina Vinicola Toscana,FORN-004,SKU-1649,Sale fin,,2.634,1000g,0.3816,1.01,22,NO,17/03/2023
50006,4,16/01/2023,Cantina Vinicola Toscana,FORN-004,SKU-6346,Pomodorini ciliegino,Verdure,26.542,g,3.2,84.93,10,SI,17/03/2023
50006,5,16/01/2023,Cantina Vinicola Toscana,FORN-004,SKU-3026,Insalata mista,Verdure,21.498,1000g,2.5846,55.56,10,SI,17/03/2023
50006,6,16/01/2023,Cantina Vinicola Toscana,FORN-004,SKU-2768,Caffe miscela bar,Bevande,5.363,kilo,15.4298,82.75,10,SI,15/02/2023
50006,7,16/01/2023,Cantina Vinicola Toscana,FORN-004,SKU-8062,Salmone intero,Pesce,15.059,kilo,14.8568,223.73,,NO,17/03/2023
50007,1,20/01/2023,Beverages Distribution,FORN-007,SKU-4812,Olio EVO,Condimenti,14.42,1000ml,9.9099,142.9,10,NO,21/03/2023
50007,2,20-01-2023,Beverages Distribution,FORN-007,SKU-5258,  Latte intero,Latticini,3.67,1000ml,1.0814,3.97,22,SI,19/02/2023
50007,3,20/01/2023,Beverages Distribution,FORN-007,SKU-4129,Pomodorini ciliegino,Verdure,25.489,kilo,2.9293,74.66,5,SI,21/03/2023
50007,4,2023/01/20,Beverages Distribution,FORN-007,SKU-2951,  Rucola,Verdure,29.684,g,4.0,118.74,,NO,21/03/2023
50007,5,20/01/2023,Beverages Distribution,FORN-007,SKU-9743,Farina 00,Secchi,14.012,1000g,0.7939,11.12,5,SI,20/04/2023
50007,6,2023/01/20,Beverages Distribution,FORN-007,SKU-4316,Insalata mista,Verdure,26.057,kg,2.3449,61.1,22,no,21/03/2023
50007,7,20/01/2023,Beverages Distribution,FORN-007,SKU-2081,Porcini freschi,Funghi,25.259,1000g,0.45,11.37,10,SI,19/02/2023
50007,8,20/01/2023,Beverages Distribution,FORN-007,SKU-9065,Vino Chi@nti DOCG bt,Vini,25.0,bottiglia,5.9412,148.53,22,NO,19/02/2023
50008,1,22/01/2023,Ortofrutta Rossi e Figli,FORN-003,SKU-7562,Farina 00,Secchi,22.388,kg,0.9206,20.61,10,SI,23/03/2023
50008,2,22/01/2023,Ortofrutta Rossi e Figli,FORN-003,SKU-1228,Olio oliva EVO,Condimenti,7.06,0.75,9.3693,66.15,22,SI,22/04/2023
50008,3,22/01/2023,Ortofrutta Rossi e Figli,FORN-003,SKU-5233,Panna fresca,Latticini,12.71,lt,2.2391,28.46,22,no,23/03/2023
50008,4,22/01/2023,Ortofrutta Rossi e Figli,FORN-003,SKU-8463,chianti 75cl,Vini,46.0,1,7.0985,326.53,22,NO,21/02/2023
50008,5,22/01/2023,Ortofrutta Rossi e Figli,FORN-003,SKU-1990,Vino Tignanello,Vini,8.0,BT,70.6647,565.32,10,NO,21/02/2023
50008,6,22/01/2023,Ortofrutta Rossi e Figli,FORN-003,SKU-4680,Sale fino,Condimenti,21.068,KG,,,5,SI,22/04/2023
50008,7,22/01/2023,Ortofrutta Rossi e Figli,FORN-003,SKU-2271,Latte fresco int,Latticini,19.73,1000ml,1.207,23.81,22,SI,22/04/2023
50009,1,25/01/2023,Cantina Vinicola Toscana,FORN-004,SKU-7878,Prosecco DOC,Vini,32.0,750ml,,,22,NO,24/02/2023
50009,2,25/01/2023,Cantina Vinicola Toscana,FORN-004,SKU-4448,uova fresche,Latticini,218.0,nr,0.3324,72.46,22,0,24/02/2023
50009,3,25/01/2023,Cantina Vinicola Toscana,FORN-004,SKU-8271,Burrata,Latticini,144.0,pezzi,3.3113,476.83,22,SI,26/03/2023
50009,4,25/01/2023,Cantina Vinicola Toscana,FORN-004,SKU-2126,Vino Chianti DOCG bt,Vini,15.0,750ml,7.6818,115.23,22,NO,08/01/2023
50009,5,25/01/2023,Cantina Vinicola Toscana,FORN-004,SKU-7773,ACQUA NAT 1L,Bevande,156.0,PZ,0.2991,46.66,22,NO,26/03/2023
50010,1,28/01/2023,Macelleria Bianchi SRL,FORN-001,SKU-3672,Uova fresche cat. A,Latticini,298.0,1,0.2482,73.96,10,SI,29/03/2023
50010,2,28-01-2023,Macelleria Bianchi SRL,FORN-001,SKU-9925,acqua minerale,Bevande,86.0,nr,0.41,35.26,22,1,29/03/2023
50010,3,28/01/2023,Macelleria Bianchi SRL,FORN-001,SKU-3896,Insalata mista,Verdure,29.639,Kg,2.9223,86.61,,NO,
50011,1,29/01/2023,Distribuzione Generale,FORN-008,SKU-2337,Riso Carnaroli,Secchi,9.336,kg,3.5986,33.6,4,NO,30/03/2023
50011,2,29/01/2023,Distribuzione Generale,FORN-008,SKU-2353,Costata di manzo,,19.257,kg,31.5794,608.12,10,SI,30/03/2023
50011,3,29/01/2023,Distribuzione Generale,FORN-008,SKU-2570,Vongole fresche,Pesce,8.092,g,9.0,72.83,22,SI,
50012,1,02/02/2023,Molino Pasta Artigianale,FORN-006,SKU-4595,Pasta tagliatelle,Secchi,13.747,g,2.1,28.87,22,NO,03/04/2023
50012,2,02/02/2023,Molino Pasta Artigianale,FORN-006,SKU-7927,Vongole fresche,Pesce,15.13,kilo,10.1969,154.28,22,SI,03/04/2023
50012,3,02/02/2023,Molino Pasta Artigianale,FORN-006,SKU-5183,Pomodorini ciliegino,Verdure,13.66,kilo,0.032,0.44,22,SI,04/03/2023
50012,4,02/02/2023,Molino Pasta Artigianale,FORN-006,SKU-5283,Uova Cat.A 30pz,Latticini,143.0,nr,0.2647,37.85,22,SI,04/03/2023
50013,1,05/02/2023,Pescheria Del Mare SNC,FORN-002,SKU-9842,Pasta tagliatelle,Secchi,7.472,kg,2.5148,18.79,10,SI,06/05/2023
50013,2,05/02/2023,Pescheria Del Mare SNC,FORN-002,SKU-8956,Rucola,Verdure,29.25,1000g,4.6417,135.77,22,NO,07/03/2023
50013,3,05/02/2023,Pescheria Del Mare SNC,FORN-002,SKU-2625,Petto di pollo,Carni,21.876,g,8.5,185.95,10,0,07/03/2023
50013,4,05/02/2023,Pescheria Del Mare SNC,FORN-002,SKU-9913,Panna fresca,Latticini,3.32,lt,2.4034,7.98,10,SI,07/03/2023
50013,5,05/02/2023,Pescheria Del Mare SNC,FORN-002,SKU-7826,Caffe miscela bar,Bevande,14.118,1000g,13.3167,188.01,22,NO,06/04/2023
50013,6,05/02/2023,Pescheria Del Mare SNC,FORN-002,SKU-3167,Prosecco DOC,Vini,20.0,bt,5.0121,100.24,22,S,
50013,7,05/02/2023,Pescheria Del Mare SNC,FORN-002,SKU-6525,Fil. Manzo,Carni,28.728,Kg,34.5414,992.31,10,SI,06/04/2023
50014,1,07/02/2023,BIANCHI CARNI s.r.l.,FORN-001,SKU-4962,Vongole fresche,Pesce,22.252,1000g,10.2782,228.71,10,NO,09/03/2023
50014,2,07/02/2023,BIANCHI CARNI s.r.l.,FORN-001,SKU-7017,Rucola,Verdure,6.247,g,4.0,24.99,10,SI,08/04/2023
50014,3,07/02/2023,BIANCHI CARNI s.r.l.,FORN-001,SKU-8670,Uova fresche cat. A,Latticini,98.0,pezzi,0.2621,25.69,,NO,08/05/2023
50015,1,08/02/2023,Cantina Vinicola Toscana,FORN-004,SKU-3400,Salmone intero,Pesce,17.727,1000g,16.7787,297.44,22,NO,09/04/2023
50015,2,08/02/2023,Cantina Vinicola Toscana,FORN-004,SKU-4574,Branzino fresco,Pesce,15.777,g,18.0,283.99,22,SI,09/05/2023
50015,3,08/02/2023,Cantina Vinicola Toscana,FORN-004,SKU-5888,Farina 00,Secchi,19.325,Kg,0.9266,17.91,10,NO,10/03/2023
50015,4,08/02/2023,Cantina Vinicola Toscana,FORN-004,SKU-1297,Latte intero,Latticini,6.14,L,1.1704,7.19,10,SI,10/03/2023
50016,1,12/02/2023,BIANCHI CARNI s.r.l.,FORN-001,SKU-6587,Panna fresca ,Latticini,18.13,0.75,2.8342,51.38,4,SI,25/01/2023
50016,2,12/02/2023,BIANCHI CARNI s.r.l.,FORN-001,SKU-6830,Costata di manzo,Carni,1.314,kilo,26.2234,34.46,10,NO,13/05/2023
50016,3,12/02/2023,BIANCHI CARNI s.r.l.,FORN-001,SKU-7912,Riso Carnaroli ,Secchi,14.953,g,3.2,47.85,10,SI,14/03/2023
50016,4,12/02/2023,BIANCHI CARNI s.r.l.,FORN-001,SKU-8795,Insalata mista,Verdure,25.684,1000g,2.9274,75.19,10,NO,14/03/2023
50016,5,12/02/2023,BIANCHI CARNI s.r.l.,FORN-001,SKU-8214,Rucola,Verdure,8.817,g,4.0,35.27,10,SI,13/05/2023
50016,6,12/02/2023,BIANCHI CARNI s.r.l.,FORN-001,SKU-4623,Vongole fresche,Pesce,17.388,KG,9.2672,161.14,5,SI,14/03/2023
50016,7,12/02/2023,BIANCHI CARNI s.r.l.,FORN-001,SKU-7762,Pomodorini ciliegino,Verdure,21.537,g,3.2,68.92,10,no,14/03/2023
50017,1,15/02/2023,Macelleria Bianchi SRL,FORN-001,SKU-3897,  Rucola,Verdure,16.591,kilo,3.5192,58.39,10,,17/03/2023
50017,2,15/02/2023,Macelleria Bianchi SRL,FORN-001,SKU-5688,Vino  Chianti  DOCG  bt,Vini,41.0,bt,5.9651,244.57,10,NO,16/04/2023
50017,3,15/02/2023,Macelleria Bianchi SRL,FORN-001,SKU-5175,Riso Carnaroli,Secchi,5.495,kilo,3.1094,17.09,10,SI,17/03/2023
50017,4,15/02/2023,Macelleria Bianchi SRL,FORN-001,SKU-5184,Pomodorini ciliegino,,10.871,KG,2.9564,32.14,10,NO,17/03/2023
50017,5,15/02/2023,Macelleria Bianchi SRL,FORN-001,SKU-4177,Caffe miscela bar,Bevande,11.076,g,14.0,155.06,10,NO,16/05/2023
50017,6,15/02/2023,Macelleria Bianchi SRL,FORN-001,SKU-9799,Burrata,Latticini,167.0,nr,2.7863,465.31,22,NO,16/05/2023
50018,1,18/02/2023,Beverages Distribution,FORN-007,SKU-2677,Parmigiano 24m,Latticini,11.787,Kg,16.6406,196.14,10,NO,20/03/2023
50018,2,18/02/2023,Beverages Distribution,FORN-007,SKU-6317,Chianti bt 0.75,Vini,18.0,750ml,7.4835,134.7,10,NO,19/05/2023
50018,3,18-02-2023,Beverages Distribution,FORN-007,SKU-8840,Salmone intero,,11.395,1000g,15.9419,181.66,10,NO,19/04/2023
50018,4,18/02/2023,Beverages Distribution,FORN-007,SKU-7265,Sale fino kg,Condimenti,4.942,1000g,0.4721,2.33,10,S,19/04/2023
50018,5,18/02/2023,Beverages Distribution,FORN-007,SKU-4642,Olio extra vergine,Condimenti,7.26,l,10.0742,73.14,4,SI,19/04/2023
50019,1,20/02/2023,Pescheria Del Mare SNC,FORN-002,SKU-3749,Riso Carnaroli,Secchi,14.729,kg,3.3881,49.9,22,SI,22/03/2023
50019,2,20/02/2023,Pescheria Del Mare SNC,FORN-002,SKU-3045,Caffe miscela bar,Bevande,3.872,1000g,15.5307,60.13,10,si,21/05/2023
50019,3,20/02/2023,Pescheria Del Mare SNC,FORN-002,SKU-5102,Vino Chianti DOCG bt,Vini,11.0,750ml,6.4351,70.79,10,SI,22/03/2023
50019,4,20/02/2023,Pescheria Del Mare SNC,FORN-002,SKU-8101,Vino Tignanello,Vini,47.0,1,75.1429,3531.72,10,1,21/05/2023
50019,5,20/02/2023,Pescheria Del Mare SNC,FORN-002,SKU-9960,Panna fresca,Latticini,15.85,LT,2.6063,41.31,10,no,21/05/2023
50019,6,20/02/2023,Pescheria Del Mare SNC,FORN-002,SKU-6782,LATTE 1L,Latticini,19.13,1000ml,1.2797,24.48,4,NO,21/05/2023
50019,7,20/02/2023,Pescheria Del Mare SNC,FORN-002,SKU-3952,Filetto manzo,Carni,27.561,g,38.0,1047.32,10,si,21/05/2023
50019,8,20/02/2023,Pescheria Del Mare SNC,FORN-002,SKU-7763,ACQUA NAT 1L,Bevande,254.0,PZ,0.3171,80.54,10,NO,22/03/2023
50020,1,24/02/2023,Macelleria Bianchi SRL,FORN-001,SKU-3946,Vino Tignanello,Vini,39.0,bott,80.517,3140.16,10,SI,25/04/2023
50020,2,24/02/2023,Macelleria Bianchi SRL,FORN-001,SKU-3156,Latte intero,Latticini,12.44,L,1.0438,12.98,22,SI,15/02/2023
50020,3,24/02/2023,Macelleria Bianchi SRL,FORN-001,SKU-9385,Pomodorini ciliegino,Verdure,18.143,Kg,3.1137,56.49,10,NO,25/05/2023
50020,4,24/02/2023,Macelleria Bianchi SRL,FORN-001,SKU-9324,Burrata,Latticini,67.0,1,2.6882,180.11,5,SI,
50020,5,24/02/2023,Macelleria Bianchi SRL,FORN-001,SKU-9607,Prosecco DOC,Vini,38.0,bt,4.3219,164.23,22,0,25/04/2023
50020,6,24/02/2023,Macelleria Bianchi SRL,FORN-001,SKU-9222,Farina 00,Secchi,18.922,Kg,0.9875,18.69,22,SI,25/04/2023
50020,7,24/02/2023,Macelleria Bianchi SRL,FORN-001,SKU-6585,Branzino fresco,Pesce,29.597,g,18.0,532.75,5,SI,26/03/2023
50020,8,24/02/2023,Macelleria Bianchi SRL,FORN-001,SKU-4112,Petto di pollo,Carni,3.139,g,8.5,26.68,22,S,25/04/2023
50021,1,26/02/2023,BIANCHI CARNI s.r.l.,FORN-001,SKU-2888,Burrata,Latticini,161.0,PZ,3.2363,521.04,4,si,28/03/2023
50021,2,26/02/2023,BIANCHI CARNI s.r.l.,FORN-001,SKU-5030,Vongole fresche,Pesce,12.555,KG,8.5075,106.81,5,SI,28/03/2023
50021,3,2023/02/26,BIANCHI CARNI s.r.l.,FORN-001,SKU-1640,Riso Carnaroli,Secchi,4.344,KG,3.4182,14.85,,SI,28/03/2023
50021,4,26/02/2023,BIANCHI CARNI s.r.l.,FORN-001,SKU-8878,Pasta tagliatelle,Secchi,6.266,KG,2.1234,13.31,10,NO,27/05/2023
50021,5,26/02/2023,BIANCHI CARNI s.r.l.,FORN-001,SKU-7893,Branzino fresco,Pesce,11.294,kilo,19.7112,222.62,5,0,
50021,6,26/02/2023,BIANCHI CARNI s.r.l.,FORN-001,SKU-2012,Pomodorini ciliegino,Verdure,20.159,Kg,2.9227,58.92,,SI,27/05/2023
50021,7,26/02/2023,BIANCHI CARNI s.r.l.,FORN-001,SKU-4245,Rucola,Verdure,11.62,KG,4.2686,49.6,4,NO,27/05/2023
50021,8,26/02/2023,BIANCHI CARNI s.r.l.,FORN-001,SKU-3434,Petto di pollo,,16.758,kg,7.9987,134.04,10,SI,
50022,1,28/02/2023,Beverages Distribution,FORN-007,SKU-3297,Vino rosso Chianti,Vini,45.0,750ml,6.4329,289.48,10,1,29/05/2023
50022,2,28/02/2023,Beverages Distribution,FORN-007,SKU-9312,sale grosso,Condimenti,13.046,g,0.4,5.22,4,NO,29/05/2023
50022,3,28/02/2023,Beverages Distribution,FORN-007,SKU-6172,Insalata mista,Verdure,16.272,kilo,2.5849,42.06,22,NO,29/04/2023
50022,4,28/02/2023,Beverages Distribution,FORN-007,SKU-6933,Farina 00,Secchi,16.76,KG,0.7409,12.42,22,NO,29/04/2023
50022,5,28/02/2023,Beverages Distribution,FORN-007,SKU-6838,Uova Cat.A 30pz,Latticini,205.0,cad,0.268,54.94,22,NO,29/04/2023
50022,6,28/02/2023,Beverages Distribution,FORN-007,SKU-2482,Porcini freschi,Funghi,19.465,g,45.0,875.92,10,SI,29/05/2023
50023,1,01/03/2023,Macelleria Bianchi SRL,FORN-001,SKU-4070,Rucola,Verdure,4.68,kg,3.6933,17.28,10,SI,31/03/2023
50023,2,01/03/2023,Macelleria Bianchi SRL,FORN-001,SKU-7695,Olio EVO,Condimenti,12.27,lt,10.0512,123.33,22,si,30/05/2023
50023,3,01/03/2023,Macelleria Bianchi SRL,FORN-001,SKU-7703,Farina 00,Secchi,28.352,KG,0.854,24.21,22,NO,31/03/2023
50023,4,01/03/2023,Macelleria Bianchi SRL,FORN-001,SKU-6445,LATTE 1L,Latticini,8.31,ml,1.1,9.14,4,SI,30/04/2023
50023,5,01/03/2023,Macelleria Bianchi SRL,FORN-001,SKU-7625,Vino Tignanello,Vini,21.0,1,86.5657,1817.88,10,,
50023,6,01/03/2023,Macelleria Bianchi SRL,FORN-001,SKU-5007,ACQUA NAT 1L,Bevande,234.0,cad,0.2988,69.92,22,SI,31/03/2023
50023,7,01-03-2023,Macelleria Bianchi SRL,FORN-001,SKU-2264,riso carnaroli,Secchi,11.09,1000g,3.5338,39.19,10,SI,30/04/2023
50024,1,05/03/2023,Latteria Alpina Coop,FORN-005,SKU-3298,Vongole fresche,Pesce,21.775,kilo,9.0644,197.38,10,1,03/06/2023
50024,2,05/03/2023,Latteria Alpina Coop,FORN-005,SKU-7684,Sale fino kg,Condimenti,20.556,KG,0.4549,9.35,10,SI,04/04/2023
50024,3,05/03/2023,Latteria Alpina Coop,FORN-005,SKU-8912,Acqua 1000ml,Bevande,261.0,nr,0.32,83.52,5,SI,03/06/2023
50024,4,05/03/2023,Latteria Alpina Coop,FORN-005,SKU-5813,Prosecco DOC,Vini,32.0,bott,5.5935,178.99,22,NO,04/04/2023
50024,5,05/03/2023,Latteria Alpina Coop,FORN-005,SKU-5276,Caffe miscela bar,Bevande,22.681,Kg,15.1552,343.74,10,NO,04/04/2023
50024,6,05/03/2023,Latteria Alpina Coop,FORN-005,SKU-3535,Pomodorini ciliegino,Verdure,25.927,1000g,3.2827,85.11,10,NO,03/06/2023
50024,7,05/03/2023,Latteria Alpina Coop,FORN-005,SKU-9563,Salmone intero,,8.89,g,14.0,124.46,4,SI,03/06/2023
50025,1,08/03/2023,Macelleria Bianchi SRL,FORN-001,SKU-2910,Porcini freschi,Funghi,9.059,kg,50.2078,454.83,22,NO,07/05/2023
50025,2,08-03-2023,Macelleria Bianchi SRL,FORN-001,SKU-1093,Caffe miscela bar,Bevande,5.403,g,14.0,75.64,10,SI,07/04/2023
50025,3,08/03/2023,Macelleria Bianchi SRL,FORN-001,SKU-4297,Vino rosso Chianti,Vini,13.0,750ml,6.9927,90.91,5,0,07/05/2023
50025,4,08/03/2023,Macelleria Bianchi SRL,FORN-001,SKU-3305,Vino Tignanello,Vini,30.0,0.75,,,22,NO,07/04/2023
50025,5,08/03/2023,Macelleria Bianchi SRL,FORN-001,SKU-1642,Parmigiano Reggiano 24m,,4.483,kg,14.9449,67.0,10,si,07/05/2023
50025,6,08/03/2023,Macelleria Bianchi SRL,FORN-001,SKU-6404,Farina 00 ,Secchi,12.234,KG,0.8882,10.87,10,SI,06/06/2023
50025,7,08/03/2023,Macelleria Bianchi SRL,FORN-001,SKU-4370,Olio EVO,Condimenti,10.35,l,8.3921,86.86,10,SI,06/06/2023
50025,8,08/03/2023,Macelleria Bianchi SRL,FORN-001,SKU-4994,Salmone intero,Pesce,7.845,kilo,13.4221,105.3,22,1,
50026,1,12/03/2023,Ortofrutta Rossi e Figli,FORN-003,SKU-3949,Panna fresca,Latticini,11.11,l,2.8322,31.47,4,SI,11/05/2023
50026,2,12/03/2023,Ortofrutta Rossi e Figli,FORN-003,SKU-2828,Costata di manzo,Carni,18.901,KG,32.6487,617.09,22,SI,11/05/2023
50026,3,12/03/2023,Ortofrutta Rossi e Figli,FORN-003,SKU-6640,Olio EVO,Condimenti,7.04,l,8.1606,57.45,10,SI,11/04/2023
50026,4,12/03/2023,Ortofrutta Rossi e Figli,FORN-003,SKU-4157,Vongole fresche,Pesce,21.417,Kg,10.6524,228.14,10,NO,10/06/2023
50027,1,14/03/2023,Latteria Alpina Coop,FORN-005,SKU-7780,Salmone intero,Pesce,12.358,Kg,14.321,176.98,22,NO,13/05/2023
50027,2,14/03/2023,Latteria Alpina Coop,FORN-005,SKU-3877,  Riso Carnaroli,Secchi,18.795,Kg,3.4928,65.65,10,SI,13/04/2023
50027,3,14/03/2023,Latteria Alpina Coop,FORN-005,SKU-7408,Caffe miscela bar,Bevande,11.13,Kg,15.7097,174.85,4,SI,13/04/2023
50027,4,14/03/2023,Latteria Alpina Coop,FORN-005,SKU-6740,Rucola,Verdure,4.726,KG,3.7955,17.94,22,SI,12/06/2023
50027,5,14/03/2023,Latteria Alpina Coop,FORN-005,SKU-5223,Costata di manzo,Carni,22.802,g,28.0,638.46,22,NO,13/05/2023
50027,6,14/03/2023,Latteria Alpina Coop,FORN-005,SKU-3184,Latte intero,Latticini,5.58,1000ml,1.272,7.1,22,,12/06/2023
50028,1,18/03/2023,Beverages Distribution,FORN-007,SKU-6110,FILETTO DI MANZO,Carni,28.529,g,38.0,1084.1,10,NO,17/05/2023
50028,2,18/03/2023,Beverages Distribution,FORN-007,SKU-1521,Farina 00,Secchi,17.469,kilo,0.9623,16.81,22,NO,16/06/2023
50028,3,18/03/2023,Beverages Distribution,FORN-007,SKU-2916,Costata di manzo,Carni,6.601,kg,25.3224,167.15,10,NO,17/05/2023
50028,4,18/03/2023,Beverages Distribution,FORN-007,SKU-7410,uova fresche,Latticini,129.0,pz,0.3165,40.83,10,SI,16/06/2023
50028,5,18/03/2023,Beverages Distribution,FORN-007,SKU-8061,Rucola,Verdure,27.787,g,4.0,111.15,22,NO,17/04/2023
50028,6,18/03/2023,Beverages Distribution,FORN-007,SKU-2024,latte intero lt,Latticini,13.18,1000ml,1.3043,17.19,10,NO,17/04/2023
50028,7,18/03/2023,Beverages Distribution,FORN-007,SKU-5397,Petto di pollo,Carni,1.032,1000g,8.5645,8.84,10,SI,17/04/2023
50029,1,20/03/2023,Latteria Alpina Coop,FORN-005,SKU-9252,Parmigiano Reggiano,Latticini,22.758,KG,17.7887,404.84,22,1,19/05/2023
50029,2,20/03/2023,Latteria Alpina Coop,FORN-005,SKU-7073,Vino Tignanello,Vini,44.0,750ml,71.3585,3139.77,22,SI,19/04/2023
50029,3,20/03/2023,Latteria Alpina Coop,FORN-005,SKU-3679,Salmone intero,Pesce,6.895,kilo,12.7072,87.62,10,SI,19/05/2023
50029,4,20/03/2023,Latteria Alpina Coop,FORN-005,SKU-4059,Pomodorini ciliegino,Verdure,10.312,kg,3.119,32.16,10,SI,18/06/2023
50029,5,20/03/2023,Latteria Alpina Coop,FORN-005,SKU-2331,Branzino fresco,Pesce,13.933,Kg,17.6004,245.23,10,NO,11/03/2023
50029,6,20/03/2023,Latteria Alpina Coop,FORN-005,SKU-1506,Rucola,Verdure,20.385,Kg,4.7031,95.87,10,NO,19/05/2023
50029,7,20/03/2023,Latteria Alpina Coop,FORN-005,SKU-2663,  Uova fresche cat. A,Latticini,32.0,nr,,,10,S,
50029,8,20/03/2023,Latteria Alpina Coop,FORN-005,SKU-6219,Latte intero,Latticini,11.61,l,1.0459,12.14,22,NO,19/05/2023
50030,1,21/03/2023,Ortofrutta Rossi e Figli,FORN-003,SKU-9122,Filetto di manzo,,1.514,Kg,,,10,SI,20/05/2023
50030,2,21/03/2023,Ortofrutta Rossi e Figli,FORN-003,SKU-8606,Panna fresca,Latticini,7.92,0.75,,,4,NO,20/05/2023
50030,3,21/03/2023,Ortofrutta Rossi e Figli,FORN-003,SKU-2326,Petto di pollo,Carni,9.15,KG,9.1932,84.12,,NO,19/06/2023
50030,4,21/03/2023,Ortofrutta Rossi e Figli,FORN-003,SKU-9771,Acqua minerale 1L,Bevande,294.0,pz,0.3906,114.84,22,no,20/05/2023
50030,5,21/03/2023,Ortofrutta Rossi e Figli,FORN-003,SKU-7013,Rucola,Verdure,10.011,g,4.0,40.04,,SI,20/05/2023
50030,6,21/03/2023,Ortofrutta Rossi e Figli,FORN-003,SKU-2362,Parmigiano Reggiano 24m,Latticini,29.98,kg,,,10,SI,20/05/2023
